Year,Mean,Standard Deviation,Annualised Mean,Annualised Standard Deviation
1926,1.58,2.4015078596581776,869.824184725628,0.08319067255407905
1927,2.4375,3.5835054574587106,27221.516913848507,0.12413627043037677
1928,2.874166666666667,4.682148804154181,114324.56659352445,0.16219439234785804
1929,-0.9625000000000004,8.646798803340722,-0.01,0.299533897004238
1930,-2.53,7.384950298349401,1.6354972840432436,0.25582218256224204
1931,-3.955,12.40949086934527,4432.909273870442,0.4298773736353616
1932,0.6466666666666668,18.207375295509106,3.9643703156177206,0.6307219816859234
1933,4.8500000000000005,15.48682783411879,16064617.621926753,0.5364794531353123
1934,0.44916666666666655,6.39592549040308,0.8478671373573325,0.22156135821606043
1935,3.2325,4.245973761320032,330494.00669533806,0.1470848456442125
1936,2.4366666666666665,4.167188573374213,27142.43251862455,0.14435564667609208
1937,-3.305,6.175251927139198,224.92195435936586,0.21391700174685424
1938,2.730833333333333,11.48623164594213,72722.72103190378,0.3978947359655452
1939,0.5166666666666667,8.094770852316644,1.4714319377755398,0.2804110878368011
1940,-0.3466666666666665,7.20203422441861,-0.009939519162043995,0.24948578389085893
1941,-0.8475,3.90727788294427,-0.009999999998417884,0.1353520762509927
1942,1.3583333333333332,4.112119191174332,295.96993721451116,0.1424479873178596
1943,2.1875,4.397737279763104,11000.234071213012,0.15234208813778882
1944,1.6466666666666667,2.3413257057927805,1181.3736947014302,0.08110590159000314
1945,2.8225,3.5644383084218827,97312.78109019923,0.12347576501263129
1946,-0.4066666666666667,5.496933580449993,-0.00998096359345622,0.1904193649434178
1947,0.3233333333333335,2.957174122008846,0.27842375358921695,0.10243951652294413
1948,0.2941666666666665,5.508988454142811,0.21074075120608649,0.19083695801771353
1949,1.5883333333333332,2.9641979854540246,904.1441169401302,0.10268283028999364
1950,2.2583333333333333,3.1191136075766295,14320.092817068515,0.1080492648580435
1951,1.635,3.4697327641398346,1120.3753839685203,0.12019506872353185
1952,1.1083333333333334,3.2545934904191625,77.12851989642948,0.11274242566777842
1953,0.09250000000000001,2.4947112239513998,0.01891061616010808,0.08641933180192328
1954,3.4975,3.3436156939892046,684942.4105516706,0.11582624525947947
1955,1.9333333333333333,2.7962973353845593,4058.2232906509134,0.09686658115911051
1956,0.745,3.968254711399642,7.961594072221089,0.13746437555037502
1957,-0.8158333333333335,3.565377599110987,-0.009999999984775876,0.12350830299656339
1958,3.1591666666666662,1.8012140266212038,267963.6406347118,0.0623958841882729
1959,1.0275,2.245513203135209,48.243670532358564,0.0777868591379383
1960,0.1691666666666667,3.851118983392025,0.05524047280627924,0.13340667490455982
1961,2.0383333333333336,2.6722711938224637,6189.054649534646,0.09257018958606493
1962,-0.7283333333333335,5.942714153915828,-0.009999998384019007,0.20586165698881814
1963,1.6325,2.7470781998996014,1107.6859256664,0.09516158029181923
1964,1.2550000000000001,1.1477765065947765,172.8754937415484,0.03976014450312135
1965,1.16,2.5458165327025863,103.13424798490543,0.08818967162779429
1966,-0.7100000000000001,3.243101770051179,-0.009999996461852168,0.112344340796904
1967,2.1783333333333332,3.481456939880547,10626.565005549313,0.12060120608472745
1968,1.1725,4.071979918239462,110.5294810707143,0.1410575221158182
1969,-0.8791666666666668,4.256999494593544,-0.00999999999990312,0.14746678824862103
1970,0.1858333333333333,6.302678302743905,0.06731857627502841,0.2183311808822884
